BRK-B
BRK-A
CB
AIG
PGR
TRV
ALL
SLF
HIG
MKL
L
XL
CINF
CNA
ACGL
AFG
WRB
Y
RE
ORI
KMPR
RNR
THG
AXS
MTG
ESGR
RDN
SIGI
RLI
ANAT
MCY
WTM
AFSI
PRA
AHL
NAVG
HMN
UVE
SAFT
STFC
UFCS
AMSF
STC
MBI
UIHC
EMCI
GBLI
DGICA
FNHC
MHLD
AMGN
GILD
NVO
BIIB
CELG
SHPG
VRTX
REGN
ALXN
BMRN
INCY
SGEN
NBIX
NKTR
ALNY
JAZZ
SRPT
TECH
ALKS
IONS
LGND
UTHR
EXEL
IMMU
MDGL
OPK
EBS
ARRY
CBPO
HALO
RGEN
SPPI
FOLD
CBM
ARNA
ARWR
RUBY
ACAD
CORT
INSM
INVA
SGMO
IMGN
LXRX
GERN
VNDA
CERS
AMRN
ACOR
CO
MMM
HON
GE
DHR
ABB
ITW
ETN
ROP
IR
CMI
ROK
AME
DOV
IEX
ZBRA
LII
NDSN
GGG
DCI
MIDD
FLS
CW
CR
ITT
CFX
JBT
RBC
HI
ATU
RAVN
SPXC
AZZ
TNC
KAI
GRC
BGG
CYD
POWL
TWIN
XRM
MNTX
INS
AP
HDSN
TAYD
CVV
CTEK
BWEN
CUO
WSCI
COP
EOG
SU
EPD
OXY
CNQ
APC
PXD
CLR
DVN
HES
MRO
APA
NBL
EQT
COG
XEC
EGN
ENLK
NFX
MUR
NFG
RRC
CHK
SM
PDCE
CNX
CPG
SWN
BRY
CPE
DNR
CRZO
GPOR
GTE
EEQ
REN
BTE
ESTE
PBT
LGCY
AXAS
ISRL
EPM
PHX
TGA
SJT
LONE
AREX
MCF
CSCO
QCOM
NOK
ERIC
MSI
HRS
JNPR
ARRS
SATS
CIEN
VSAT
PLT
VIAV
FNSR
NTGR
RDWR
INFN
IIJI
SMCI
LORL
CMTL
CAMP
ITRN
ADTN
SWIR
EXTR
GILT
HLIT
DGII
SILC
AUDC
INSG
CRNT
EXFO
KVHI
ALLT
CLFD
ITI
DZSI
TESS
IDSY
LTRX
PNTR
AVNW
FTNW
PCTI
FEIM
WSTL
ELON
WTT
BLK
BK
BX
AABA
STT
TROW
NTRS
AMP
BEN
SEIC
IVZ
AMG
JEF
EV
LAZ
EVR
NVG
AB
PSEC
LM
FII
NZF
CNS
WDR
EVV
WETF
AINV
ECPG
OZM
AC
NMZ
EIM
GBL
CET
IFN
PZN
NKX
CLM
DHIL
RILY
MVF
EAD
NXJ
PNNT
WHG
BKCC
CORR
FEN
ERC
GLO
BKNG
SPGI
MCO
FISV
WP
CTAS
GPN
ROL
ADS
WEX
G
EEFT
NSP
CMPR
MMS
RBA
SNX
HCSG
STN
DLX
HMSY
WNS
ABM
CVG
EXLS
PRAA
CATM
CBZ
LABL
VVI
TTEC
SCOR
CASS
TISI
NEWT
INWK
RRD
UEPS
REIS
SRT
PRGX
TPNL
ACTG
PFSW
CLCT
ARC
STCN
ITUS
OMEX
ALJJ
BDX
ISRG
ILMN
BAX
RMD
MTD
WAT
COO
TFX
HOLX
VAR
STE
WST
XRAY
PODD
HRC
ICUI
MASI
HAE
IART
CMD
MMSI
STAA
NXTM
LMNX
ATRC
ATRI
TRXC
OSUR
ANGO
LMAT
ATRS
UTMD
CRHM
BLFS
MBOT
BVX
HBIO
ELGX
ATEC
LAKE
SSKN
INFU
CASM
BIOL
PDEX
ISR
BMRA
MLSS
RVP
SBNY
SNV
FCNCA
UBSI
SSB
UBSH
UCBI
TOWN
ABCB
WSBC
BANR
EGBN
WSFS
SBCF
SASR
SBSI
CHCO
FBNC
BMTC
GBNK
LION
OLBK
ANCX
TBBK
FCBC
FISI
SONA
CCBG
AMNB
HBMD
CZNC
NKSH
SMMF
LCNB
SHBI
SLCT
CFFI
BOCH
PWOD
TCFC
PEBK
DNBF
CBAN
OPOF
FUNC
SVBI
BKSC
BOTJ
CART
SGB
MTB
WBS
VLY
FULT
INDB
NBTB
FCF
STBA
BNCL
TMP
BPFH
WASH
LBAI
TRST
UVSP
NFBK
CNOB
HBNC
ORIT
BDGE
CAC
PGC
FLIC
AROW
CCNE
BHB
FRBK
MCB
PFIS
FNLC
CVLY
MPB
CNBKA
ATLO
MBTF
NWFL
BCBP
UNB
PKBK
EVBN
SBBX
ORRF
NBN
CBFV
FCCY
TRCB
HWBK
SAL
CIZN
SSFN
