GOOGL
GOOG
FB
BIDU
JD
TWTR
IQ
VRSN
WB
IAC
MTCH
GRUB
XOM
RDS-A
RDS-B
CVX
PTR
TOT
BP
SNP
EQNR
E
EC
IMO
JPM
BAC
WFC
C
RY
TD
BNS
PNC
BMO
CM
STI
IBN
JNJ
PFE
NVS
MRK
ABBV
LLY
SNY
GSK
BMY
AZN
GWPH
HRTX
BRK-A
BRK-B
CB
AIG
PGR
TRV
ALL
SLF
HIG
MKL
L
XL
AAPL
SNE
PHG
SONO
FN
UEIC
HBB
WATT
VUZI
KODK
MSN
KOSS
MSFT
ADP
CA
CTXS
SSNC
JKHY
FFIV
IRM
DOCU
DOX
AZPN
GWRE
AMGN
GILD
NVO
BIIB
CELG
SHPG
VRTX
REGN
ALXN
BGNE
BMRN
INCY
ORCL
SAP
ADBE
CRM
INTU
WDAY
RHT
SPLK
ANSS
SHOP
FTNT
CDNS
V
MA
PYPL
AXP
COF
SLMBP
DFS
SYF
IX
TSS
EFX
WU
AMZN
MELI
W
VIPS
BZUN
OSTK
LE
GAIA
LQDT
LITB
EVLV
ATV
MMM
HON
GE
DHR
ABB
ITW
ETN
ROP
IR
CMI
ROK
AME
T
VZ
VZA
IRDMB
BCE
CHT
CTL
ATUS
GLIBA
GLIBP
SHEN
ATNI
COP
EOG
SU
EPD
OXY
CNQ
APC
PXD
CLR
DVN
HES
MRO
PG
UL
UN
CL
EL
KMB
COTY
HLF
SPB
NUS
ENR
EPC
NEE
DUK
D
SO
AEP
ED
XEL
PCG
EIX
WEC
PPL
DTE
UNH
CVS
ANTM
AET
ESRX
HUM
CI
CNC
WCG
MOH
MGLN
HIIQ
BA
UTX
LMT
GD
RTN
COL
TDG
LLL
HEI
HII
SPR
BWXT
BABA
EBAY
EBAYL
PDD
ULTA
GPC
TSCO
QRTEA
KAR
FIVE
ETSY
SFIX
INTC
TXN
AVGO
NXPI
AMD
MCHP
ASX
STM
MXIM
QRVO
ON
IDTI
